Rank,Title,Year,Rating,Genre,Director,URL
134,Judgment at Nuremberg,1961,8.3,"Legal Drama, Drama, War",Stanley Kramer,https://www.imdb.com/title/tt0055031/?ref_=chttp_i_134
135,The Truman Show,1998,8.2,"Dark Comedy, High-Concept Comedy, Psychological Drama",Peter Weir,https://www.imdb.com/title/tt0120382/?ref_=chttp_i_135
136,Some Like It Hot,1959,8.2,"Buddy Comedy, Farce, Romantic Comedy",Billy Wilder,https://www.imdb.com/title/tt0053291/?ref_=chttp_i_136
137,Shutter Island,2010,8.2,"Psychological Thriller, Suspense Mystery, Drama",Martin Scorsese,https://www.imdb.com/title/tt1130884/?ref_=chttp_i_137
138,The Kid,1921,8.2,"Buddy Comedy, Slapstick, Comedy",Charles Chaplin,https://www.imdb.com/title/tt0012349/?ref_=chttp_i_138
139,The Father,2020,8.2,"Psychological Drama, Drama, Mystery",Florian Zeller,https://www.imdb.com/title/tt10272386/?ref_=chttp_i_139
140,All About Eve,1950,8.2,"Showbiz Drama, Drama",Joseph L. Mankiewicz,https://www.imdb.com/title/tt0042192/?ref_=chttp_i_140
141,Jurassic Park,1993,8.2,"Dinosaur Adventure, Jungle Adventure, Action",Steven Spielberg,https://www.imdb.com/title/tt0107290/?ref_=chttp_i_141
142,There Will Be Blood,2007,8.2,"Epic, Period Drama, Psychological Drama",Paul Thomas Anderson,https://www.imdb.com/title/tt0469494/?ref_=chttp_i_142
143,Casino,1995,8.2,"Docudrama, Epic, Gangster",Martin Scorsese,https://www.imdb.com/title/tt0112641/?ref_=chttp_i_143
144,The Sixth Sense,1999,8.2,"Psychological Drama, Psychological Thriller, Suspense Mystery",M. Night Shyamalan,https://www.imdb.com/title/tt0167404/?ref_=chttp_i_144
145,Ran,1985,8.2,"Epic, Samurai, Tragedy",Akira Kurosawa,https://www.imdb.com/title/tt0089881/?ref_=chttp_i_145
146,Top Gun: Maverick,2022,8.2,"Action Epic, Epic, Action",Joseph Kosinski,https://www.imdb.com/title/tt1745960/?ref_=chttp_i_146
147,No Country for Old Men,2007,8.2,"Contemporary Western, Psychological Thriller, Serial Killer",Ethan Coen,https://www.imdb.com/title/tt0477348/?ref_=chttp_i_147
148,The Thing,1982,8.2,"Alien Invasion, Body Horror, Monster Horror",John Carpenter,https://www.imdb.com/title/tt0084787/?ref_=chttp_i_148
149,Pan's Labyrinth,2006,8.2,"Coming-of-Age, Dark Fantasy, Fairy Tale",Guillermo del Toro,https://www.imdb.com/title/tt0457430/?ref_=chttp_i_149
150,Unforgiven,1992,8.2,"Period Drama, Tragedy, Drama",Clint Eastwood,https://www.imdb.com/title/tt0105695/?ref_=chttp_i_150
151,A Beautiful Mind,2001,8.2,"Docudrama, Period Drama, Psychological Drama",Ron Howard,https://www.imdb.com/title/tt0268978/?ref_=chttp_i_151
